"state_code","latitude","longitude","zip_code","id","city","name","founded_at","closed_at","first_funding_at","last_funding_at","age_first_funding_year","age_last_funding_year","age_first_milestone_year","age_last_milestone_year","relationships","funding_rounds","funding_total_usd","milestones","is_CA","is_NY","is_MA","is_TX","is_otherstate","category_code","is_software","is_web","is_mobile","is_enterprise","is_advertising","is_gamesvideo","is_ecommerce","is_biotech","is_consulting","is_othercategory","has_VC","has_angel","has_roundA","has_roundB","has_roundC","has_roundD","is_top500","status"
"CA",42.35888,-71.05682,"92101","c:6669","San Diego","Bandsintown",2007-01-01,NA,2009-04-01,2010-01-01,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,"music",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"acquired"
"CA",37.238916,-121.973718,"95032","c:16283","Los Gatos","TriCipher",2000-01-01,NA,2005-02-14,2009-12-28,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,"enterprise",0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,"acquired"
"CA",32.901049,-117.192656,"92121","c:65620","San Diego","Plixi",2009-03-18,NA,2010-03-30,2010-03-30,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"acquired"
"CA",37.320309,-122.05004,"95014","c:42668","Cupertino","Solidcore Systems",2002-01-01,NA,2005-02-17,2007-04-25,3.1315,5.3151,6.0027,6.0027,5,3,4e+07,1,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"acquired"
"CA",37.779281,-122.419236,"94105","c:65806","San Francisco","Inhale Digital",2010-08-01,2012-10-01,2010-08-01,2012-04-01,0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,"games_video",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,"closed"
"CA",37.406914,-122.09037,"94043","c:22898","Mountain View","Matisse Networks",2002-01-01,2009-02-15,2006-07-18,2006-07-18,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,"network_hosting",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"closed"
"CA",37.3915589,-122.0702643,"94041","c:16191","Mountain View","RingCube Technologies",2005-01-01,NA,2006-09-21,2010-03-18,1.7205,5.211,3,6.6082,6,3,2.6e+07,2,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,"acquired"
"CA",38.057107,-122.513742,"94901","c:5192","San Rafael","ClairMail",2004-01-01,NA,2005-08-24,2010-10-04,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,0,"finance",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,"acquired"
"MA",42.712207,-73.203599,"1267","c:1043","Williamstown","VoodooVox",2002-01-01,NA,2005-08-02,2013-02-08,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,"mobile",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,"acquired"
"CA",37.427235,-122.145783,"94306","c:498","Palo Alto","Doostang",2005-06-01,NA,2007-02-01,2010-02-05,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,"acquired"
"CA",37.4429885,-122.1624131,"94025","c:3949","Menlo Park","Zong",2000-11-15,NA,2005-07-01,2010-04-26,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,"mobile",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"acquired"
